,rmse,params
0,0.6072350932243084,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.018357183456832474, 'max_depth': 6, 'min_child_samples': 49, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 338, 'n_jobs': None, 'num_leaves': 69, 'objective': None, 'random_state': 46, 'reg_alpha': 0.6073374497943441, 'reg_lambda': 0.3127003112066338, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
0,0.6077652075137239,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.0165476733844, 'max_depth': 6, 'min_child_samples': 49, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 300, 'n_jobs': None, 'num_leaves': 108, 'objective': None, 'random_state': 46, 'reg_alpha': 0.8605007196335979, 'reg_lambda': 0.16896269614444992, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
0,0.6084432851879807,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.03591507439225363, 'max_depth': 13, 'min_child_samples': 27, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 178, 'n_jobs': None, 'num_leaves': 27, 'objective': None, 'random_state': 46, 'reg_alpha': 0.7924110857907927, 'reg_lambda': 0.7420850809154078, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
0,0.6085358094716282,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.017059799504210948, 'max_depth': 5, 'min_child_samples': 23, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 310, 'n_jobs': None, 'num_leaves': 50, 'objective': None, 'random_state': 46, 'reg_alpha': 0.6978080933922549, 'reg_lambda': 0.25349815617710236, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
0,0.6085602444872751,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.0374893104341387, 'max_depth': 19, 'min_child_samples': 15, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 159, 'n_jobs': None, 'num_leaves': 22, 'objective': None, 'random_state': 46, 'reg_alpha': 0.8208232904492132, 'reg_lambda': 0.6703028101614706, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
0,0.6085628237027809,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.031216686358486304, 'max_depth': 18, 'min_child_samples': 28, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 128, 'n_jobs': None, 'num_leaves': 18, 'objective': None, 'random_state': 46, 'reg_alpha': 0.8533373373463842, 'reg_lambda': 0.5149786529414268, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
0,0.6088269755675105,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.040031057285471065, 'max_depth': 5, 'min_child_samples': 47, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 268, 'n_jobs': None, 'num_leaves': 120, 'objective': None, 'random_state': 46, 'reg_alpha': 0.7329922678708688, 'reg_lambda': 0.7988468928136093, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
0,0.6088862478933109,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.013283766939613955, 'max_depth': 7, 'min_child_samples': 41, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 393, 'n_jobs': None, 'num_leaves': 42, 'objective': None, 'random_state': 46, 'reg_alpha': 0.1736504276531673, 'reg_lambda': 0.5046592666322985, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
0,0.6093905797703897,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.05676653238691067, 'max_depth': 10, 'min_child_samples': 43, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 131, 'n_jobs': None, 'num_leaves': 16, 'objective': None, 'random_state': 46, 'reg_alpha': 0.1998800398459294, 'reg_lambda': 0.7669785554350899, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
0,0.6094026923916536,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.05680622190839506, 'max_depth': 7, 'min_child_samples': 41, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 145, 'n_jobs': None, 'num_leaves': 88, 'objective': None, 'random_state': 46, 'reg_alpha': 0.8107255770767564, 'reg_lambda': 0.9536778002225224, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
0,0.6094798042594362,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.02629262001432451, 'max_depth': 14, 'min_child_samples': 49, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 196, 'n_jobs': None, 'num_leaves': 148, 'objective': None, 'random_state': 46, 'reg_alpha': 0.053718227723814516, 'reg_lambda': 0.9956485994949816, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
0,0.6094883247944676,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.04368823391245236, 'max_depth': 17, 'min_child_samples': 36, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 108, 'n_jobs': None, 'num_leaves': 24, 'objective': None, 'random_state': 46, 'reg_alpha': 0.02077397752232124, 'reg_lambda': 0.8849301313518488, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
0,0.6095749125267519,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.029789435077496984, 'max_depth': 5, 'min_child_samples': 26, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 325, 'n_jobs': None, 'num_leaves': 130, 'objective': None, 'random_state': 46, 'reg_alpha': 0.7184678631317998, 'reg_lambda': 0.6481771452374178, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
0,0.6096687616139617,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.010907989590512663, 'max_depth': 16, 'min_child_samples': 40, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 443, 'n_jobs': None, 'num_leaves': 104, 'objective': None, 'random_state': 46, 'reg_alpha': 0.548584674346614, 'reg_lambda': 0.9312120610267225, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
0,0.609849666741091,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.04048654980668212, 'max_depth': 8, 'min_child_samples': 32, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 221, 'n_jobs': None, 'num_leaves': 19, 'objective': None, 'random_state': 46, 'reg_alpha': 0.40479481572600673, 'reg_lambda': 0.9756403654841527, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
0,0.6099222120579469,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.022218577733815293, 'max_depth': 10, 'min_child_samples': 40, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 349, 'n_jobs': None, 'num_leaves': 23, 'objective': None, 'random_state': 46, 'reg_alpha': 0.03207879199603758, 'reg_lambda': 0.910326833368802, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
0,0.6099906778545152,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.034389235377764275, 'max_depth': 11, 'min_child_samples': 48, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 203, 'n_jobs': None, 'num_leaves': 114, 'objective': None, 'random_state': 46, 'reg_alpha': 0.09287704594896251, 'reg_lambda': 0.7634108654711875, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
0,0.6102074410725399,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.016566030141852414, 'max_depth': 13, 'min_child_samples': 42, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 440, 'n_jobs': None, 'num_leaves': 96, 'objective': None, 'random_state': 46, 'reg_alpha': 0.7868946955462234, 'reg_lambda': 0.24316472540747391, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
0,0.6103880042078165,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.02934365337643985, 'max_depth': 10, 'min_child_samples': 43, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 190, 'n_jobs': None, 'num_leaves': 71, 'objective': None, 'random_state': 46, 'reg_alpha': 0.60602938735711, 'reg_lambda': 0.4196017794126492, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
0,0.6105698211355076,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.010953573716469517, 'max_depth': 20, 'min_child_samples': 24, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 490, 'n_jobs': None, 'num_leaves': 42, 'objective': None, 'random_state': 46, 'reg_alpha': 0.8220227197592966, 'reg_lambda': 0.22976398438105694, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
0,0.6106935144007173,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.033791538026409745, 'max_depth': 10, 'min_child_samples': 50, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 173, 'n_jobs': None, 'num_leaves': 149, 'objective': None, 'random_state': 46, 'reg_alpha': 0.6422712109125917, 'reg_lambda': 0.30852549641559746, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
0,0.6112076351385791,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.05168305841994012, 'max_depth': 5, 'min_child_samples': 24, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 175, 'n_jobs': None, 'num_leaves': 52, 'objective': None, 'random_state': 46, 'reg_alpha': 0.022774849978374978, 'reg_lambda': 0.08686394134702813, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
0,0.6112305046759681,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.037629952143139404, 'max_depth': 19, 'min_child_samples': 45, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 187, 'n_jobs': None, 'num_leaves': 69, 'objective': None, 'random_state': 46, 'reg_alpha': 0.2777069046458185, 'reg_lambda': 0.5331639270130182, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
0,0.6114753734112489,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.02851072746970821, 'max_depth': 8, 'min_child_samples': 46, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 394, 'n_jobs': None, 'num_leaves': 25, 'objective': None, 'random_state': 46, 'reg_alpha': 0.7261612345856479, 'reg_lambda': 0.23749141431263165, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
0,0.6114864039267677,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.017285122624313677, 'max_depth': 12, 'min_child_samples': 43, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 482, 'n_jobs': None, 'num_leaves': 95, 'objective': None, 'random_state': 46, 'reg_alpha': 0.05114404545804363, 'reg_lambda': 0.9137285942995942, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
0,0.6116941467506815,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.013302516315998821, 'max_depth': 11, 'min_child_samples': 26, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 387, 'n_jobs': None, 'num_leaves': 139, 'objective': None, 'random_state': 46, 'reg_alpha': 0.21228671012334344, 'reg_lambda': 0.349279384274923, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
0,0.6120694011395023,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.032157012039042865, 'max_depth': 9, 'min_child_samples': 21, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 230, 'n_jobs': None, 'num_leaves': 45, 'objective': None, 'random_state': 46, 'reg_alpha': 0.06055698317943781, 'reg_lambda': 0.2956794566787816, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
0,0.6121114412168398,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.05746576484162709, 'max_depth': 8, 'min_child_samples': 33, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 141, 'n_jobs': None, 'num_leaves': 127, 'objective': None, 'random_state': 46, 'reg_alpha': 0.8140342110718214, 'reg_lambda': 0.1351875852249289, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
0,0.6122668141757861,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.07275038031067783, 'max_depth': 7, 'min_child_samples': 37, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 118, 'n_jobs': None, 'num_leaves': 45, 'objective': None, 'random_state': 46, 'reg_alpha': 0.5956762001882469, 'reg_lambda': 0.9259982235539519, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
0,0.61236064391213,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 1.0, 'importance_type': 'split', 'learning_rate': 0.009380647960759724, 'max_depth': 6, 'min_child_samples': 16, 'min_child_weight': 0.001, 'min_split_gain': 0.0, 'n_estimators': 346, 'n_jobs': None, 'num_leaves': 91, 'objective': None, 'random_state': 46, 'reg_alpha': 0.4868546785660991, 'reg_lambda': 0.24279423545818068, 'subsample': 1.0, 'subsample_for_bin': 200000, 'subsample_freq': 0, 'verbose': -1}"
