feature,importance
one_gram_tok_9,1.0
down_event_6,0.8623188405797102
down_event_1,0.7463768115942029
one_gram_tok_5,0.6256038647342995
pauses_1_sec,0.6231884057971014
one_gram_tok_8,0.5929951690821256
down_event_12,0.5603864734299517
sent_len_median,0.5567632850241546
down_event_13,0.5193236714975845
one_gram_tok_7,0.47342995169082125
one_gram_tok_4,0.47101449275362317
cursor_pos_acc_skew,0.4613526570048309
evid_acc_skew,0.3961352657004831
r_burst_count,0.3804347826086957
sent_len_last,0.3635265700483092
sent_len_q1,0.357487922705314
paragraph_len_q1,0.35144927536231885
one_gram_tok_6,0.34299516908212563
word_count_acc_skew,0.33695652173913043
paragraph_word_count_max,0.3309178743961353
paragraph_word_count_last,0.321256038647343
one_gram_tok_2,0.32004830917874394
sent_len_first,0.32004830917874394
evid_acc_std,0.30193236714975846
paragraph_word_count_first,0.29830917874396135
pauses_1_half_sec,0.2826086956521739
sent_word_count_first,0.28140096618357485
inter_key_median_lantency,0.28140096618357485
inter_key_largest_lantency,0.28140096618357485
roc_skew,0.28019323671497587
pauses_half_sec,0.28019323671497587
paragraph_len_median,0.2753623188405797
cursor_pos_acc_std,0.2608695652173913
cursor_pos_acc_max,0.2584541062801932
down_event_3,0.25120772946859904
sent_word_count_max,0.25120772946859904
bigram_tok_7,0.24758454106280192
one_gram_tok_0,0.22584541062801933
paragraph_word_count_q3,0.22342995169082125
sent_count,0.21980676328502416
down_event_2,0.213768115942029
cursor_pos_roc_max,0.213768115942029
pos_change_count,0.20772946859903382
down_event_9,0.20169082125603865
roc_std,0.19927536231884058
activity_2_cnt,0.19806763285024154
r_burst_mean,0.19202898550724637
cursor_pos_roc_kurt,0.19082125603864733
cursor_pos_roc_mean,0.19082125603864733
paragraph_word_count_median,0.1823671497584541
roc_count,0.18115942028985507
down_event_5,0.17995169082125603
paragraph_len_last,0.17753623188405798
cursor_pos_roc_skew,0.17753623188405798
p_burst_median,0.17270531400966183
paragraph_len_min,0.17028985507246377
down_event_15,0.1606280193236715
r_burst_std,0.1461352657004831
cursor_pos_acc_neg,0.14492753623188406
evid_acc_kurt,0.14130434782608695
cursor_pos_acc_mean,0.13768115942028986
cursor_pos_acc_kurt,0.1316425120772947
r_burst_max,0.1292270531400966
paragraph_word_count_min,0.12318840579710146
cursor_pos_neg_change_count,0.11714975845410629
sent_len_q3,0.11231884057971014
p_burst_std,0.10990338164251208
one_gram_tok_1,0.10990338164251208
sent_len_min,0.10628019323671498
one_gram_tok_3,0.10265700483091787
paragraph_len_first,0.09782608695652174
down_event_7,0.09541062801932366
word_count_acc_kurt,0.09541062801932366
sent_word_count_q3,0.0929951690821256
roc_kurt,0.08091787439613526
p_burst_count,0.08091787439613526
std_pause_time,0.07729468599033816
cursor_pos_pst_change_count,0.07608695652173914
bigram_tok_2,0.0748792270531401
one_gram_tok_10,0.07367149758454106
total_pause_time,0.06763285024154589
sent_len_mean,0.06159420289855073
roc_zro_count,0.06038647342995169
pauses_3_sec,0.057971014492753624
sent_len_max,0.05676328502415459
paragraph_word_count_q1,0.051932367149758456
paragraph_len_max,0.049516908212560384
cursor_pos_roc_q3,0.04830917874396135
p_burst_max,0.01932367149758454
word_count_acc_pst,0.018115942028985508
cursor_pos_roc_std,0.014492753623188406
paragraph_len_q3,0.014492753623188406
bigram_tok_4,0.00966183574879227
cursor_pos_acc_sum,0.00966183574879227
r_burst_sum,0.006038647342995169
p_burst_mean,0.0
